Authors	Record Count	% of 1.857
Onen A	2	0.108
Osman A	2	0.108
Ouyang X	2	0.108
Palensky P	2	0.108
Palmieri F	2	0.108
Panciatici P	2	0.108
Panigrahi BK	2	0.108
Panthi M	2	0.108
Parizi RM	2	0.108
Park CH	2	0.108
Park M	2	0.108
Park RJ	2	0.108
Parvez I	2	0.108
Pasetti M	2	0.108
Passos D	2	0.108
Patel A	2	0.108
Patel SJ	2	0.108
Patti E	2	0.108
Peng DD	2	0.108
Pereira J	2	0.108
Pi DC	2	0.108
Powell KM	2	0.108
Prabhakar T	2	0.108
Pravinraj S	2	0.108
Puskás-tompos A	2	0.108
Pérez D	2	0.108
Qadrdan M	2	0.108
Qaisar SM	2	0.108
Qaraqe M	2	0.108
Qasim U	2	0.108
Qi GQ	2	0.108
Qiu J	2	0.108
Qu YY	2	0.108
Quincozes SE	2	0.108
Qureshi KN	2	0.108
Ragab M	2	0.108
Raghuvamsi Y	2	0.108
Rahim FA	2	0.108
Rashid M	2	0.108
Ravi L	2	0.108
Ravi V	2	0.108
Reddy MJB	2	0.108
Ren B	2	0.108
Reno MJ	2	0.108
Richardson P	2	0.108
Rimer S	2	0.108
Robillard C	2	0.108
Rossi B	2	0.108
Roy A	2	0.108
Ruan JQ	2	0.108
Ruben C	2	0.108
Ruiz-cruz R	2	0.108
Ramírez J	2	0.108
Rodríguez-rivero J	2	0.108
Sadanandan SK	2	0.108
Sagiroglu S	2	0.108
Sahoo S	2	0.108
Sahu A	2	0.108
Sakhnini J	2	0.108
Salem M	2	0.108
Sanfilippo F	2	0.108
Sangeetha K	2	0.108
Santin AO	2	0.108
Santone A	2	0.108
Sappa R	2	0.108
Sargolzaei A	2	0.108
Saric AT	2	0.108
Sasikumar A	2	0.108
Sato S	2	0.108
Saxena N	2	0.108
Sayakkara A	2	0.108
Scanlon M	2	0.108
Schetakis N	2	0.108
Schotten HD	2	0.108
Segovia F	2	0.108
Selvarajan S	2	0.108
Senouci SM	2	0.108
Serrano R	2	0.108
Sesis A	2	0.108
Shafiq M	2	0.108
Shahir HY	2	0.108
Sharma G	2	0.108
Sharma S	2	0.108
Shen SG	2	0.108
Sheng C	2	0.108
Shetty S	2	0.108
Shi J	2	0.108
Shitharth S	2	0.108
Shukla SK	2	0.108
Si YF	2	0.108
Silvestri S	2	0.108
Simoes P	2	0.108
Sindhu S	2	0.108
Singh R	2	0.108
Sivakumar NS	2	0.108
Soman KP	2	0.108
Song H	2	0.108
Song J	2	0.108
Song Y	2	0.108
Stanic N	2	0.108
Stankovic AM	2	0.108
Stepanovic S	2	0.108
Stiawan D	2	0.108
Strielkowski W	2	0.108
Su H	2	0.108
Su Y	2	0.108
Sudhakara S	2	0.108
Suliman FM	2	0.108
Sumper A	2	0.108
Sun HJ	2	0.108
Sun MY	2	0.108
Sun SX	2	0.108
Sun XJ	2	0.108
Sundararajan A	2	0.108
Suresh S	2	0.108
Tabar VS	2	0.108
Taherdoost H	2	0.108
Tahir M	2	0.108
Takanashi M	2	0.108
Talei H	2	0.108
Tang B	2	0.108
Tariq M	2	0.108
Tavolato P	2	0.108
Tayebi MA	2	0.108
Teeparthi K	2	0.108
Teixeira MA	2	0.108
Tepe K	2	0.108
Thakur S	2	0.108
Thangavel S	2	0.108
Tohidi S	2	0.108
Transtrum MK	2	0.108
Trivedi C	2	0.108
Turnbull B	2	0.108
Tuttle JF	2	0.108
Tzovaras D	2	0.108
Terrén-serrano G	2	0.108
Ullah F	2	0.108
Upadhyay D	2	0.108
Usama M	2	0.108
Vaidya G	2	0.108
Valverde V	2	0.108
Varabei Y	2	0.108
Velasquez W	2	0.108
Verma A	2	0.108
Verma P	2	0.108
Victor N	2	0.108
Viegas EK	2	0.108
Villa-avila E	2	0.108
Vinopraba T	2	0.108
Wan SH	2	0.108
Wang C	2	0.108
Wang CY	2	0.108
Wang GB	2	0.108
Wang JP	2	0.108
Wang K	2	0.108
Wang SX	2	0.108
Wang T	2	0.108
Wang YC	2	0.108
Wang YF	2	0.108
Wang YH	2	0.108
Wang YL	2	0.108
Wang YM	2	0.108
Wang Z	2	0.108
Wang ZL	2	0.108
Wang ZN	2	0.108
Wei J	2	0.108
Wood DA	2	0.108
Wool A	2	0.108
Wotawa F	2	0.108
Wshah S	2	0.108
Wu HY	2	0.108
Wu J	2	0.108
Wu JB	2	0.108
Wu JZ	2	0.108
Wu QH	2	0.108
Wu SM	2	0.108
Wu ZY	2	0.108
Xia L	2	0.108
Xu AD	2	0.108
Xu XY	2	0.108
Yafoz A	2	0.108
Yamamoto K	2	0.108
Yan CJ	2	0.108
Yang C	2	0.108
Yang CH	2	0.108
Yang DY	2	0.108
Yang GT	2	0.108
Yang J	2	0.108
Yang LQ	2	0.108
Yang QH	2	0.108
Yang SH	2	0.108
Yang T	2	0.108
Yang X	2	0.108
Yang Z	2	0.108
Yang ZB	2	0.108
Yao Y	2	0.108
Yen KK	2	0.108
Yi ZH	2	0.108
Yin XF	2	0.108
Ying H	2	0.108
Youn YW	2	0.108
Yu J	2	0.108
Yu L	2	0.108
Yu T	2	0.108
Yuan Z	2	0.108
Zafar A	2	0.108
Zafar MH	2	0.108
Zafar U	2	0.108
Zaman M	2	0.108
Zeng FC	2	0.108
Zhang CH	2	0.108
Zhang DX	2	0.108
Zhang JS	2	0.108
Zhang SH	2	0.108
Zhang WE	2	0.108
Zhang WH	2	0.108
Zhang YC	2	0.108
Zhang YH	2	0.108
Zhang YJA	2	0.108
Zhang YR	2	0.108
Zhang YX	2	0.108
Zhang Z	2	0.108
Zhang ZM	2	0.108
Zhao JB	2	0.108
Zhao XH	2	0.108
Zhao XY	2	0.108
Zheng XD	2	0.108
Zheng Y	2	0.108
Zheng Z	2	0.108
Zhou C	2	0.108
Zhou FR	2	0.108
Zhou L	2	0.108
Zhou P	2	0.108
Zhou SJ	2	0.108
Zhou Y	2	0.108
Zhou YH	2	0.108
Zhu BQ	2	0.108
Zhu HL	2	0.108
Zhu L	2	0.108
Zhu TC	2	0.108
Zhu YL	2	0.108
Zhu YM	2	0.108
Zhu ZQ	2	0.108
Zine-dine K	2	0.108
Zomaya AY	2	0.108
Zu T	2	0.108
Aakanksha	1	0.054
Abaide A	1	0.054
Abapour M	1	0.054
Abawajy J	1	0.054
Abaza MM	1	0.054
Abba-aliyu S	1	0.054
Abbas G	1	0.054
Abbas R	1	0.054
Abbas ZH	1	0.054
Abbasi U	1	0.054
Abbaspour A	1	0.054
Abbasspour A	1	0.054
Abbaszada MA	1	0.054
Abbou AB	1	0.054
Abd-ellah MK	1	0.054
Abdalzaher MS	1	0.054
Abdel-basset M	1	0.054
Abdelaziz AY	1	0.054
Abdelhamid AA	1	0.054
Abdelkareem MA	1	0.054
Abdellatif AA	1	0.054
Abdellatif E	1	0.054
Abdi N	1	0.054
Abdollahi A	1	0.054
Abdou-tankari M	1	0.054
Abdourahimou D	1	0.054
Abdu JE	1	0.054
Abdulaal MJ	1	0.054
Abdulganiyu OH	1	0.054
Abdulghani HA	1	0.054
Abdulkareem KH	1	0.054
Abdullah MF	1	0.054
Abdullah MO	1	0.054
Abdusalomov A	1	0.054
Abedzadeh S	1	0.054
Abidi MR	1	0.054
Abimannan S	1	0.054
Abir SMA	1	0.054
Abirami SP	1	0.054
Abokifa AA	1	0.054
Abouheaf M	1	0.054
Abreu T	1	0.054
Abro GEM	1	0.054
Abu Bakar A	1	0.054
Abu-tair M	1	0.054
Abuadbba S	1	0.054
Abualigah L	1	0.054
Abubaker M	1	0.054
